Artist,Title,Year
Len,Steal My Sunshine,1999
Wu-Tang Clan,Triumph,1997
Ani DiFranco,Both Hands,1990
Fugazi,Smallpox Champion,1993
Wilson Phillips,Hold On,1990
Refused,New Noise,1998
Deborah Cox,Nobody’s Supposed to Be Here,1998
Dismemberment Plan,You Are Invited,1999
Naughty by Nature,Feel Me Flow,1995
Robyn,Show Me Love,1995
Pearl Jam,Corduroy,1994
JAY-Z,Dead Presidents II,1996
Blur,Song 2,1997
Gin Blossoms,Hey Jealousy,1992
Broadcast,Echo’s Answer,1999
Tracy Chapman,Give Me One Reason,1995
Korn,Freak on a Leash,1999
Cypress Hill,How I Could Just Kill a Man,1991
Brian Eno / John Cale,Lay My Love,1990
Celine Dion,It’s All Coming Back to Me Now,1996
Cornershop,Brimful of Asha,1997
Boyz II Men,Motownphilly,1991
Soundgarden,Black Hole Sun,1994
Goodie Mob,Cell Therapy,1995
Alice in Chains,Would?,1992
Jawbox,Savory,1994
Luniz,I Got 5 on It,1995
The La’s,There She Goes,1990
RuPaul,Supermodel (You Better Work),1992
Veruca Salt,Seether,1994
Blur,Girls &amp; Boys,1994
Elvis Crespo,Suavemente,1999
Third Eye Blind,Semi-Charmed Life,1997
Shanice,I Love Your Smile,1991
Blink-182,Dammit,1997
Blackstreet,No Diggity,1996
Garbage,Stupid Girl,1995
Lil’ Kim,Big Momma Thang,1996
4 Non Blondes,What’s Up?,1992
Whitney Houston,I’m Every Woman,1992
Temple of the Dog,Hunger Strike,1991
The KLF,3 a.m. Eternal (Live at the S.S.L.),1991
Belly,Feed the Tree,1993
Teenage Fanclub,The Concept,1991
Mark Morrison,Return of the Mack,1996
New Radicals,You Get What You Give,1998
Da Brat,Funkdafied,1994
Cat Power,Cross Bones Style,1998
Mos Def,Ms. Fat Booty,1999
Hole,Doll Parts,1994
Maxwell,Ascension (Don’t Ever Wonder),1996
Helium,Pat’s Trick,1995
Acen,Trip II the Moon (Pt. 1 and 2),1992
L7,Pretend We’re Dead,1992
